NAxe	NTrace	Loc	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	57	Tuto	828315.227	6256479.383	-0.401	0.916	-1.945	2	69.248	363.326	1942-07-01	2011-09-30	3	5.25	5.25	5.25	5.25	5.25	5.25	NA	2	5.25	NA	Cerema	2020-12-18
1	58	Tuto	828222.464	6256442.067	-0.357	0.934	-2.191	4	74.006	433.978	1942-07-01	2016-07-02	3	5.69	1.57	5.96	5.52	6.05	5.52	3.82	3	-2.66	2003	Cerema	2020-12-18
1	59	Tuto	828128.614	6256407.538	-0.345	0.939	-2.269	4	74.006	383.263	1942-07-01	2016-07-02	3	5.07	1.67	5.28	5.11	5.35	5.11	3.55	3	-1.66	2005	Cerema	2020-12-18
1	60	Tuto	828034.783	6256372.958	-0.349	0.937	-2.242	3	71.001	340.518	1942-07-01	2013-07-01	3	4.79	3.21	4.85	4.82	4.84	4.82	3.21	3	NA	2012	Cerema	2020-12-18
1	61	Tuto	827940.973	6256338.325	-0.372	0.928	-2.101	3	71.001	344.47	1942-07-01	2013-07-01	3	4.77	2.15	4.87	4.81	4.84	4.81	2.15	3	-3.3	1998	Cerema	2020-12-18
1	62	Tuto	827849.86	6256297.196	-0.417	0.909	-1.867	3	71.001	317.62	1942-07-01	2013-07-01	3	4.36	1.48	4.47	4.4	4.44	4.4	1.48	3	-4.5	1995	Cerema	2020-12-18
1	63	Tuto	827759.603	6256254.142	-0.431	0.902	-1.803	3	71.001	328.234	1942-07-01	2013-07-01	3	4.48	1.18	4.6	4.53	4.57	4.53	1.18	3	-5.69	1993	Cerema	2020-12-18
1	64	Tuto	827669.346	6256211.088	-0.431	0.902	-1.803	3	71.001	339.359	1942-07-01	2013-07-01	3	4.62	1.08	4.76	4.67	4.72	4.67	1.08	3	-6.29	1992	Cerema	2020-12-18
1	65	Tuto	827579.088	6256168.034	-0.416	0.909	-1.871	3	71.001	576.093	1942-07-01	2013-07-01	3	5.13	-35.77	6.65	5.7	6.28	5.7	-35.77	3	-120.76	1979	Cerema	2020-12-18
1	66	Tuto	827487.781	6256127.365	-0.375	0.927	-2.084	3	71.001	650.015	1942-07-01	2013-07-01	3	5.82	-40	7.51	6.45	7.1	6.45	-40	3	-135.22	1979	Cerema	2020-12-18
1	67	Tuto	827394.097	6256092.397	-0.385	0.923	-2.028	3	71.001	696.199	1942-07-01	2013-07-01	3	8.96	-5.05	9.48	9.16	9.35	9.16	-5.05	3	-34.16	1985	Cerema	2020-12-18
1	68	Tuto	827303.5	6256050.118	-0.422	0.906	-1.843	3	71.001	747.819	1942-07-01	2013-07-01	3	10.53	13.38	10.43	10.49	10.45	10.49	13.38	3	10.43	1936	Cerema	2020-12-18
1	69	Tuto	827213.464	6256006.608	-0.419	0.908	-1.858	3	71.001	797.851	1942-07-01	2013-07-01	3	11.24	18.23	10.98	11.14	11.04	11.14	18.23	3	32.77	1959	Cerema	2020-12-18
1	70	Tuto	827121.119	6255968.555	-0.378	0.926	-2.067	3	71.001	741.006	1942-07-01	2013-07-01	3	10.44	18.82	10.13	10.32	10.2	10.32	18.82	3	36.25	1963	Cerema	2020-12-18
1	71	Tuto	827029.12	6255929.486	-0.434	0.901	-1.791	3	71.001	810.828	1942-07-01	2013-07-01	3	11.42	34.27	10.57	11.1	10.78	11.1	34.27	3	81.76	1972	Cerema	2020-12-18
1	72	Tuto	826939.485	6255885.315	-0.535	0.845	-1.428	3	71.001	836.4	1942-07-01	2013-07-01	3	11.78	26.75	11.23	11.57	11.36	11.57	26.75	3	57.85	1969	Cerema	2020-12-18
1	73	Tuto	826858.782	6255826.325	-0.607	0.795	-1.231	3	71.001	857.588	1942-07-01	2013-07-01	3	12.08	23.33	11.66	11.92	11.76	11.92	23.33	3	46.72	1965	Cerema	2020-12-18
1	74	Tuto	826781.559	6255762.793	-0.633	0.774	-1.167	3	71.001	860.695	1942-07-01	2013-07-01	3	12.12	14.67	12.03	12.09	12.05	12.09	14.67	3	12.03	1924	Cerema	2020-12-18
1	75	Tuto	826704.421	6255699.155	-0.651	0.759	-1.125	3	71.001	854.969	1942-07-01	2013-07-01	3	12.04	10.24	12.11	12.07	12.09	12.07	10.24	2	12.11	2053	Cerema	2020-12-18
1	76	Tuto	826627.609	6255635.158	-0.695	0.719	-1.026	3	71.001	926.692	1942-07-01	2013-07-01	3	12.12	-4.02	12.72	12.35	12.58	12.35	-4.02	3	-37.57	1986	Cerema	2020-12-18
1	77	Tuto	826557.074	6255564.272	-0.709	0.705	-0.996	3	71.001	925.9	1942-07-01	2013-07-01	3	12.27	-1.8	12.8	12.47	12.67	12.47	-1.8	3	-31.03	1987	Cerema	2020-12-18
1	78	Tuto	826486.539	6255493.386	-0.721	0.693	-0.97	3	71.001	942.474	1942-07-01	2013-07-01	3	12.88	3.47	13.23	13.01	13.14	13.01	3.48	3	-16.06	1993	Cerema	2020-12-18
1	79	Tuto	826418.444	6255420.202	-0.765	0.644	-0.876	3	71.001	944.684	1942-07-01	2013-07-01	3	13.31	11.2	13.38	13.33	13.36	13.33	11.2	2	13.38	2048	Cerema	2020-12-18
1	80	Tuto	826357.847	6255340.7	-0.851	0.525	-0.686	3	71.001	994.9	1942-07-01	2013-07-01	3	14.01	18.45	13.85	13.95	13.89	13.95	18.45	3	27.68	1942	Cerema	2020-12-18
1	81	Tuto	826319.141	6255250.361	-0.964	0.267	-0.34	3	71.001	1015.799	1942-07-01	2013-07-01	3	14.31	15.87	14.25	14.29	14.26	14.29	15.87	3	14.25	1874	Cerema	2020-12-18
1	82	Tuto	826300.004	6255152.299	-0.994	0.105	-0.134	3	71.001	972.703	1942-07-01	2013-07-01	3	13.7	10.34	13.82	13.75	13.79	13.75	10.34	2	13.82	2023	Cerema	2020-12-18
1	83	Tuto	826292.833	6255052.6	-1	0.018	-0.023	3	71.001	918.7	1942-07-01	2013-07-01	3	12.94	10.91	13.01	12.97	13	12.97	10.91	2	13.01	2049	Cerema	2020-12-18
1	84	Tuto	826294.079	6254952.647	-0.999	-0.05	0.064	3	71.001	858.189	1942-07-01	2013-07-01	3	12.09	10.47	12.15	12.11	12.13	12.11	10.47	2	12.15	2062	Cerema	2020-12-18
1	85	Tuto	826303.084	6254853.062	-0.996	-0.093	0.118	3	71.001	788.371	1942-07-01	2013-07-01	3	11.1	12.72	11.04	11.08	11.06	11.08	12.72	3	11.04	1900	Cerema	2020-12-18
1	86	Tuto	826314.436	6254753.715	-0.992	-0.122	0.155	3	71.001	699.913	1942-07-01	2013-07-01	3	9.86	11.17	9.81	9.84	9.82	9.84	11.17	3	9.81	1893	Cerema	2020-12-18
1	87	Tuto	826327.01	6254654.512	-0.984	-0.178	0.227	3	71.001	616.775	1942-07-01	2013-07-01	3	8.69	8.42	8.7	8.69	8.69	8.69	8.42	2	8.7	NA	Cerema	2020-12-18
1	88	Tuto	826350.075	6254557.33	-0.951	-0.309	0.394	3	71.001	555.063	1942-07-01	2013-07-01	3	7.82	8.57	7.79	7.81	7.8	7.81	8.57	2	7.79	NA	Cerema	2020-12-18
1	89	Tuto	826390.608	6254466.054	-0.905	-0.425	0.546	3	71.001	498.197	1942-07-01	2013-07-01	3	7.02	7.54	7	7.01	7	7.01	7.55	2	7	NA	Cerema	2020-12-18
1	90	Tuto	826435.796	6254376.861	-0.882	-0.471	0.609	3	71.001	397.934	1942-07-01	2013-07-01	3	5.6	5.71	5.6	5.6	5.6	5.6	5.71	2	5.6	NA	Cerema	2020-12-18
1	91	Tuto	826483.591	6254289.022	-0.878	-0.479	0.62	3	71.001	333.657	1942-07-01	2013-07-01	3	4.7	5.15	4.68	4.69	4.69	4.69	5.15	2	4.68	NA	Cerema	2020-12-18
1	92	Tuto	826531.592	6254201.296	-0.877	-0.48	0.622	3	71.001	285.323	1942-07-01	2013-07-01	3	4.02	3.69	4.03	4.02	4.03	4.02	3.69	2	4.03	NA	Cerema	2020-12-18
1	93	Tuto	826579.594	6254113.57	-0.873	-0.488	0.633	3	71.001	246.995	1942-07-01	2013-07-01	3	3.48	2.59	3.51	3.49	3.5	3.49	2.59	2	3.51	NA	Cerema	2020-12-18
1	94	Tuto	826628.556	6254026.383	-0.858	-0.513	0.668	3	71.001	205.893	1942-07-01	2013-07-01	3	2.83	0.95	2.9	2.85	2.88	2.85	0.95	3	-2.94	1994	Cerema	2020-12-18
1	95	Tuto	826680.669	6253941.036	-0.853	-0.523	0.682	3	71.001	170.404	1942-07-01	2013-07-01	3	2.24	-0.58	2.35	2.28	2.32	2.28	-0.58	3	-6.44	1986	Cerema	2020-12-18
1	96	Tuto	826734.369	6253856.681	-0.85	-0.527	0.688	3	71.001	135.586	1942-07-01	2013-07-01	3	1.75	-0.92	1.85	1.79	1.82	1.79	-0.92	3	-6.46	1985	Cerema	2020-12-18
1	97	Tuto	826787.403	6253771.903	-0.821	-0.571	0.755	3	71.001	108.493	1942-07-01	2013-07-01	3	1.25	-2.8	1.4	1.31	1.36	1.31	-2.8	3	-11.23	1981	Cerema	2020-12-18
1	98	Tuto	826849.046	6253693.919	-0.73	-0.684	0.951	3	71.001	75.834	1942-07-01	2013-07-01	3	0.67	-4.74	0.87	0.75	0.82	0.75	-4.74	3	-15.99	1979	Cerema	2020-12-18
1	99	Tuto	826920.699	6253624.163	-0.697	-0.718	1.023	3	71.001	42.711	1942-07-01	2013-07-01	3	-0.03	-7.94	0.26	0.08	0.19	0.08	-7.94	3	-24.38	1977	Cerema	2020-12-18
