NAxe	NTrace	Xsque	Ysque	U	V	Distance	date1	date2	marqueur	incert	prj_tdc	leve	product	NomTDC[itdc]	Nbcoup
1	49	828956.861	6256916.411	-0.925	0.379	-441.58	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	49	828956.861	6256916.411	-0.925	0.379	336.573	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	50	828915.044	6256825.725	-0.88	0.475	380.103	20160702143213	20160702143346	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	50	828915.044	6256825.725	-0.88	0.475	-347.509	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	50	828915.044	6256825.725	-0.88	0.475	-119.917	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	2
1	50	828915.044	6256825.725	-0.88	0.475	-209.205	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	2
1	50	828915.044	6256825.725	-0.88	0.475	346.544	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	51	828847.054	6256756.89	-0.532	0.846	376.717	20160702143356	20160702143430	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	51	828847.054	6256756.89	-0.532	0.846	-89.831	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	51	828847.054	6256756.89	-0.532	0.846	358.703	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	52	828762.408	6256703.645	-0.532	0.846	353.617	20160702143213	20160702143346	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	52	828762.408	6256703.645	-0.532	0.846	-94.148	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	52	828762.408	6256703.645	-0.532	0.846	314.441	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	53	828675.076	6256655.056	-0.439	0.899	-107.958	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	53	828675.076	6256655.056	-0.439	0.899	299.357	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	54	828585.248	6256611.115	-0.439	0.898	-125.035	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	54	828585.248	6256611.115	-0.439	0.898	233.38	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	55	828495.419	6256567.175	-0.44	0.898	-149.111	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	55	828495.419	6256567.175	-0.44	0.898	208.44	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	56	828405.59	6256523.234	-0.44	0.898	-175.511	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	56	828405.59	6256523.234	-0.44	0.898	180.485	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	57	828315.633	6256479.564	-0.407	0.913	-192.1	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	57	828315.633	6256479.564	-0.407	0.913	170.788	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	58	828222.881	6256442.219	-0.344	0.939	201.59	20160702142050	20160702142103	3	10	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
