NAxe	NTrace	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	72	826939.859	6255885.555	-0.539	0.842	-1.416	3	71.001	836.242	1942-07-01	2013-07-01	3	11.78	26.8	11.22	11.57	11.36	11.57	26.8	3	58.02	1969	Cerema	2020-06-23
1	73	826859.131	6255826.6	-0.62	0.785	-1.199	3	71.001	856.924	1942-07-01	2013-07-01	3	12.07	22.36	11.69	11.93	11.78	11.93	22.36	3	43.75	1964	Cerema	2020-06-23
1	74	826781.902	6255763.076	-0.636	0.771	-1.159	3	71.001	860.341	1942-07-01	2013-07-01	3	12.12	14.67	12.02	12.08	12.05	12.08	14.67	3	12.02	1924	Cerema	2020-06-23
1	75	826704.764	6255699.438	-0.636	0.771	-1.159	3	71.001	858.568	1942-07-01	2013-07-01	3	12.09	12.04	12.09	12.09	12.09	12.09	12.04	2	12.09	NA	Cerema	2020-06-23
1	76	826627.922	6255635.473	-0.708	0.706	-0.998	3	71.001	923.233	1942-07-01	2013-07-01	3	12.08	-3.97	12.68	12.3	12.53	12.3	-3.97	3	-37.33	1986	Cerema	2020-06-23
1	77	826557.387	6255564.587	-0.709	0.706	-0.997	3	71.001	925.995	1942-07-01	2013-07-01	3	12.27	-1.83	12.8	12.47	12.67	12.47	-1.83	3	-31.12	1987	Cerema	2020-06-23
1	78	826486.853	6255493.701	-0.709	0.705	-0.996	3	71.001	945.657	1942-07-01	2013-07-01	3	12.89	3.05	13.25	13.03	13.16	13.03	3.05	3	-17.39	1992	Cerema	2020-06-23
1	79	826418.731	6255420.541	-0.764	0.645	-0.878	3	71.001	944.372	1942-07-01	2013-07-01	3	13.3	11.12	13.38	13.33	13.36	13.33	11.12	2	13.38	2046	Cerema	2020-06-23
1	80	826358.104	6255341.063	-0.817	0.576	-0.763	3	71.001	972.781	1942-07-01	2013-07-01	3	13.7	12.16	13.76	13.72	13.74	13.72	12.16	2	13.76	2077	Cerema	2020-06-23
1	81	826319.235	6255250.796	-0.977	0.212	-0.27	3	71.001	1019.951	1942-07-01	2013-07-01	3	14.37	13.77	14.39	14.37	14.38	14.37	13.77	2	14.39	NA	Cerema	2020-06-23
1	82	826300.048	6255152.742	-0.995	0.099	-0.126	3	71.001	976.362	1942-07-01	2013-07-01	3	13.75	10.52	13.87	13.8	13.84	13.8	10.52	2	13.87	2025	Cerema	2020-06-23
1	83	826292.84	6255053.045	-1	0.016	-0.02	3	71.001	919.029	1942-07-01	2013-07-01	3	12.94	10.92	13.02	12.97	13	12.97	10.92	2	13.02	2049	Cerema	2020-06-23
1	84	826294.054	6254953.091	-0.998	-0.056	0.071	3	71.001	859.177	1942-07-01	2013-07-01	3	12.1	10.51	12.16	12.12	12.15	12.12	10.51	2	12.16	2063	Cerema	2020-06-23
1	85	826303.042	6254853.505	-0.995	-0.095	0.121	3	71.001	789.141	1942-07-01	2013-07-01	3	11.11	12.71	11.06	11.09	11.07	11.09	12.71	3	11.06	1899	Cerema	2020-06-23
1	86	826314.382	6254754.157	-0.993	-0.122	0.155	3	71.001	700.105	1942-07-01	2013-07-01	3	9.86	11.17	9.81	9.84	9.82	9.84	11.17	3	9.81	1893	Cerema	2020-06-23
1	87	826326.943	6254654.953	-0.989	-0.149	0.19	3	71.001	618.64	1942-07-01	2013-07-01	3	8.71	8.69	8.71	8.71	8.71	8.71	8.69	2	8.71	NA	Cerema	2020-06-23
1	88	826349.935	6254557.753	-0.95	-0.313	0.399	3	71.001	555.648	1942-07-01	2013-07-01	3	7.83	8.57	7.8	7.82	7.81	7.82	8.58	2	7.8	NA	Cerema	2020-06-23
1	89	826390.411	6254466.453	-0.896	-0.443	0.571	3	71.001	500.869	1942-07-01	2013-07-01	3	7.05	7.44	7.04	7.05	7.04	7.05	7.43	2	7.04	NA	Cerema	2020-06-23
1	90	826435.583	6254377.252	-0.879	-0.477	0.617	3	71.001	399.031	1942-07-01	2013-07-01	3	5.62	5.79	5.61	5.62	5.62	5.62	5.8	2	5.61	NA	Cerema	2020-06-23
1	91	826483.377	6254289.413	-0.877	-0.48	0.622	3	71.001	333.898	1942-07-01	2013-07-01	3	4.7	5.14	4.69	4.7	4.69	4.7	5.14	2	4.69	NA	Cerema	2020-06-23
1	92	826531.378	6254201.687	-0.877	-0.48	0.622	3	71.001	285.552	1942-07-01	2013-07-01	3	4.02	3.7	4.03	4.03	4.03	4.03	3.7	2	4.03	NA	Cerema	2020-06-23
1	93	826579.38	6254113.961	-0.877	-0.48	0.622	3	71.001	247.235	1942-07-01	2013-07-01	3	3.48	2.55	3.52	3.5	3.51	3.5	2.55	2	3.52	2019	Cerema	2020-06-23
1	94	826628.324	6254026.764	-0.854	-0.521	0.68	3	71.001	205.897	1942-07-01	2013-07-01	3	2.83	0.93	2.9	2.85	2.88	2.85	0.93	3	-3	1994	Cerema	2020-06-23
1	95	826680.437	6253941.416	-0.853	-0.521	0.68	3	71.001	170.609	1942-07-01	2013-07-01	3	2.24	-0.58	2.35	2.28	2.32	2.28	-0.59	3	-6.46	1986	Cerema	2020-06-23
1	96	826734.133	6253857.058	-0.847	-0.532	0.696	3	71.001	135.509	1942-07-01	2013-07-01	3	1.75	-0.91	1.85	1.79	1.82	1.79	-0.91	3	-6.45	1985	Cerema	2020-06-23
1	97	826787.168	6253772.282	-0.85	-0.527	0.688	3	71.001	109.74	1942-07-01	2013-07-01	3	1.27	-2.78	1.42	1.33	1.38	1.33	-2.78	3	-11.19	1981	Cerema	2020-06-23
1	98	826848.727	6253694.229	-0.698	-0.717	1.021	3	71.001	76.306	1942-07-01	2013-07-01	3	0.68	-4.69	0.88	0.76	0.83	0.76	-4.69	3	-15.85	1979	Cerema	2020-06-23
1	99	826920.38	6253624.474	-0.697	-0.717	1.022	3	71.001	42.637	1942-07-01	2013-07-01	3	-0.03	-7.93	0.26	0.08	0.19	0.08	-7.93	3	-24.33	1977	Cerema	2020-06-23
1	100	826992.033	6253554.718	-0.698	-0.717	1.021	3	71.001	51.275	1942-07-01	2013-07-01	3	-0.35	-9.74	0	-0.22	-0.35	-0.35	-9.74	3	-29.26	1977	Cerema	2020-06-23
1	101	827066.171	6253487.81	-0.611	-0.791	1.22	3	71.001	45.642	1942-07-01	2013-07-01	3	-0.64	-7.03	-0.41	-0.55	-0.46	-0.55	-7.03	3	-20.29	1976	Cerema	2020-06-23
1	102	827145.276	6253426.635	-0.612	-0.791	1.219	3	71.001	78.217	1942-07-01	2013-07-01	3	-1.1	-6.88	-0.89	-1.02	-0.94	-1.02	-6.88	3	-18.89	1975	Cerema	2020-06-23
1	103	827224.381	6253365.46	-0.612	-0.791	1.219	3	71.001	103.17	1942-07-01	2013-07-01	3	-1.45	-9.12	-1.17	-1.35	-1.24	-1.35	-9.12	3	-25.06	1975	Cerema	2020-06-23
1	104	827304.717	6253305.967	-0.643	-0.766	1.144	3	71.001	130.728	1942-07-01	2013-07-01	3	-1.84	-10.56	-1.52	-1.72	-1.6	-1.72	-10.56	3	-28.67	1975	Cerema	2020-06-23
1	105	827382.533	6253243.165	-0.616	-0.788	1.209	3	71.001	147.537	1942-07-01	2013-07-01	3	-2.08	-9.21	-1.81	-1.98	-1.88	-1.98	-9.21	3	-24.04	1974	Cerema	2020-06-23
1	106	827462.694	6253183.404	-0.583	-0.812	1.292	3	71.001	164.608	1942-07-01	2013-07-01	3	-2.32	-7.16	-2.14	-2.25	-2.18	-2.25	-7.16	3	-17.22	1972	Cerema	2020-06-23
1	107	827544.199	6253125.47	-0.571	-0.821	1.325	3	71.001	187.932	1942-07-01	2013-07-01	3	-2.65	-7.39	-2.47	-2.58	-2.51	-2.58	-7.39	3	-17.23	1971	Cerema	2020-06-23
1	108	827626.858	6253069.195	-0.557	-0.83	1.363	3	71.001	203.2	1942-07-01	2013-07-01	3	-2.86	-7.75	-2.68	-2.79	-2.73	-2.79	-7.75	3	-17.92	1971	Cerema	2020-06-23
1	109	827709.879	6253013.45	-0.557	-0.83	1.363	3	71.001	224.023	1942-07-01	2013-07-01	3	-3.16	-7.95	-2.98	-3.09	-3.02	-3.09	-7.95	3	-17.9	1970	Cerema	2020-06-23
1	110	827793.108	6252958.018	-0.553	-0.833	1.375	3	71.001	249.496	1942-07-01	2013-07-01	3	-3.51	-8.23	-3.34	-3.45	-3.38	-3.45	-8.23	3	-18.02	1969	Cerema	2020-06-23
1	111	827876.301	6252902.535	-0.561	-0.828	1.353	3	71.001	258.499	1942-07-01	2013-07-01	3	-3.64	-7.98	-3.48	-3.58	-3.52	-3.58	-7.98	3	-17	1968	Cerema	2020-06-23
1	112	827956.882	6252843.399	-0.632	-0.775	1.17	2	69.248	231.698	1942-07-01	2011-09-30	3	-3.35	-3.35	-3.35	-3.35	-3.35	-3.35	NA	2	-3.35	NA	Cerema	2020-06-23
1	113	828033.871	6252779.613	-0.672	-0.741	1.078	2	69.248	260.394	1942-07-01	2011-09-30	3	-3.76	-3.76	-3.76	-3.76	-3.76	-3.76	NA	2	-3.76	NA	Cerema	2020-06-23
1	114	828108.139	6252712.652	-0.659	-0.752	1.107	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	115	828183.318	6252646.711	-0.659	-0.752	1.107	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	116	828258.495	6252580.77	-0.659	-0.752	1.107	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	117	828333.674	6252514.829	-0.659	-0.752	1.107	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	118	828408.852	6252448.888	-0.662	-0.75	1.1	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	119	828484.087	6252383.012	-0.658	-0.753	1.109	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	120	828560.233	6252318.195	-0.645	-0.764	1.139	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	121	828636.782	6252253.852	-0.634	-0.773	1.165	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	122	828715.894	6252193.05	-0.493	-0.87	1.563	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	123	828803.52	6252144.877	-0.473	-0.881	1.635	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	124	828892.148	6252098.578	-0.454	-0.891	1.708	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	125	828981.297	6252053.319	-0.464	-0.886	1.669	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	126	829069.837	6252008.082	-0.446	-0.895	1.74	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	127	829159.746	6251964.319	-0.432	-0.902	1.8	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	128	829250.017	6251921.294	-0.429	-0.903	1.812	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	129	829340.97	6251879.785	-0.39	-0.921	2.002	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	130	829433.072	6251840.834	-0.39	-0.921	2.002	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	131	829526.992	6251806.632	-0.368	-0.93	2.125	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
