NAxe	NTrace	Loc	Xsque	Ysque	U	V	Distance	date1	date2	marqueur	incert	leve	product	NomTDC[itdc]	Nbcoup
1	67	Tuto	827394.097	6256092.397	-0.385	0.923	-357.078	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	67	Tuto	827394.097	6256092.397	-0.385	0.923	339.121	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	2
1	67	Tuto	827394.097	6256092.397	-0.385	0.923	279.263	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	68	Tuto	827303.5	6256050.118	-0.422	0.906	-378.48	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	68	Tuto	827303.5	6256050.118	-0.422	0.906	335.505	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	3
1	68	Tuto	827303.5	6256050.118	-0.422	0.906	369.339	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	69	Tuto	827213.464	6256006.608	-0.419	0.908	-402.848	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	69	Tuto	827213.464	6256006.608	-0.419	0.908	337.576	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	69	Tuto	827213.464	6256006.608	-0.419	0.908	395.003	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	70	Tuto	827121.119	6255968.555	-0.378	0.926	-346.221	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	70	Tuto	827121.119	6255968.555	-0.378	0.926	331.272	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	70	Tuto	827121.119	6255968.555	-0.378	0.926	394.785	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	71	Tuto	827029.12	6255929.486	-0.434	0.901	-349.524	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	71	Tuto	827029.12	6255929.486	-0.434	0.901	318.05	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	71	Tuto	827029.12	6255929.486	-0.434	0.901	461.304	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	72	Tuto	826939.485	6255885.315	-0.535	0.845	-364.386	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	72	Tuto	826939.485	6255885.315	-0.535	0.845	370.644	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	72	Tuto	826939.485	6255885.315	-0.535	0.845	472.014	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	73	Tuto	826858.782	6255826.325	-0.607	0.795	-375.779	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	73	Tuto	826858.782	6255826.325	-0.607	0.795	399.942	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	73	Tuto	826858.782	6255826.325	-0.607	0.795	481.809	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	74	Tuto	826781.559	6255762.793	-0.633	0.774	-384.598	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	74	Tuto	826781.559	6255762.793	-0.633	0.774	441.106	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
